Continent,Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Component,Energy_type
Africa,Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Botswana,0.021222994,0.018327937,0.020287668,0.021935624,0.021423421,0.018439286,0.020265399,0.016435016,0.022002433,0.017548499,0.032758683,0.033315425,0.038212317,0.046534212,0.04192044,0.049608123,0.048393175,0.047178203,0.041939121,0.044340069,production,coal
Africa,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Congo-Brazzaville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Congo-Kinshasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Côte d’Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Egypt,0.000889683,0.000788899,0.000688114,0.000701784,0.000643299,0.000584814,0.00052633,0.000682121,0.000792374,0.000755165,0.000437891,6.60E-05,0,0,0,0,0,0,0,0,production,coal
Africa,Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Eswatini,0.009982127,0.010562785,0.011496255,0.010617781,0.010452982,0.010876751,0.010594238,0.006986753,0.003379269,0.003295985,0.003527059,0.002989929,0.003122946,0.003040216,0.003729172,0.004061244,0.003037015,0.002587348,0.002544977,0.002723802,production,coal
Africa,Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,"Gambia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Malawi,0.001568571,0.002029916,0.001291764,0.001294258,0.001506227,0.00146134,0.001511215,0.001471315,0.001970065,0.00192019,0.001770565,0.001670815,0.001588521,0.001466327,0.001079795,0.001496252,0.001241889,0.001208722,0.001175556,0.001280605,production,coal
Africa,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Morocco,0.000695934,0.000651647,0.00060736,0.00030368,0.000172929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Mozambique,0.000864666,0.000913166,0.000892801,0.000881111,0.000792625,0.000685573,0.00104078,0.001557433,0.002002507,0.017136153,0.124287072,0.165022786,0.173204058,0.180930748,0.19833123,0.384192996,0.404123193,0.276770371,0.187149129,0.26777898,production,coal
Africa,Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Niger,0.003702467,0.003823926,0.004789199,0.003685463,0.003569267,0.003467647,0.003702467,0.003864412,0.004809766,0.00534216,0.005078999,0.004896811,0.005534571,0.004947804,0.005384129,0.005293258,0.005088797,0.005134233,0.005611308,0.005634025,production,coal
Africa,Nigeria,0.000588336,0.000592036,0.000797904,0.000964223,0.00077813,0.000592036,0.000702978,0.000991325,0.001045381,0.00100938,0.000955829,0.00113259,0.001171201,0.001209812,0.001184072,0.001319082,0.0012424,0.001405776,0.00113733,0.001255696,production,coal
Africa,Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,S0rra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Africa,Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
